Order_ID,Date,Product_Category,Product,Quantity,Unit_Price,Customer_Age,Customer_Gender,Region,Payment_Method
1001,2024-01-15,Electronics,Laptop,1,899.99,28,M,North,Credit Card
1002,2024-01-16,Clothing,T-Shirt,3,19.99,35,F,South,PayPal
1003,2024-01-16,Electronics,Headphones,2,79.99,42,M,East,Debit Card
1004,2024-01-17,Home & Garden,Chair,4,45.50,31,F,West,Credit Card
1005,2024-01-18,Electronics,Mouse,1,25.99,28,M,North,Cash
1006,2024-01-19,Clothing,Jeans,2,59.99,25,F,South,Credit Card
1007,2024-01-20,Electronics,Keyboard,1,89.99,38,M,East,PayPal
1008,2024-01-21,Home & Garden,Lamp,3,34.99,45,F,West,Debit Card
1009,2024-01-22,Electronics,Monitor,1,299.99,33,M,North,Credit Card
1010,2024-01-23,Clothing,Jacket,1,129.99,29,F,South,Cash
1011,2024-01-24,Electronics,Tablet,1,399.99,52,M,East,Credit Card
1012,2024-01-25,Home & Garden,Table,2,150.00,41,F,West,PayPal
1013,2024-01-26,Electronics,Phone,1,699.99,27,M,North,Credit Card
1014,2024-01-27,Clothing,Shoes,1,89.99,36,F,South,Debit Card
1015,2024-01-28,Electronics,Smartwatch,1,249.99,30,M,East,Credit Card
1016,2024-01-29,Home & Garden,Desk,1,199.99,44,F,West,Cash
1017,2024-01-30,Electronics,Camera,1,549.99,39,M,North,Credit Card
1018,2024-02-01,Clothing,Sweater,2,49.99,26,F,South,PayPal
1019,2024-02-02,Electronics,Speaker,1,129.99,48,M,East,Debit Card
1020,2024-02-03,Home & Garden,Sofa,1,799.99,37,F,West,Credit Card
1021,2024-02-04,Electronics,,1,99.99,31,M,North,Credit Card
1022,2024-02-05,Clothing,Dress,1,79.99,28,F,South,Cash
1023,2024-02-06,Electronics,Router,2,59.99,43,M,East,PayPal
1024,2024-02-07,Home & Garden,Rug,1,89.99,,F,West,Debit Card
1025,2024-02-08,Electronics,Laptop,1,899.99,29,M,North,Credit Card
1026,2024-02-09,Clothing,Shorts,3,24.99,34,F,South,Credit Card
1027,2024-02-10,Electronics,Webcam,1,69.99,40,M,East,Cash
1028,2024-02-11,Home & Garden,Mirror,2,45.00,32,F,West,PayPal
1029,2024-02-12,Electronics,Printer,1,199.99,46,M,North,Credit Card
1030,2024-02-13,Clothing,Scarf,4,15.99,27,F,South,Debit Card
1031,2024-02-14,Electronics,Headphones,1,79.99,35,M,East,Credit Card
1032,2024-02-15,Home & Garden,Curtains,2,39.99,41,F,West,Cash
1033,2024-02-16,Electronics,Mouse,3,25.99,30,M,North,PayPal
1034,2024-02-17,Clothing,Hat,2,19.99,38,F,South,Credit Card
1035,2024-02-18,Electronics,USB Drive,5,12.99,28,M,East,Debit Card
1036,2024-02-19,Home & Garden,Plant Pot,3,18.99,44,F,West,Credit Card
1037,2024-02-20,Electronics,Monitor,1,299.99,33,M,North,Cash
1038,2024-02-21,Clothing,Socks,6,9.99,25,F,South,PayPal
1039,2024-02-22,Electronics,Keyboard,1,89.99,47,M,East,Credit Card
1040,2024-02-23,Home & Garden,Bookshelf,1,129.99,36,F,West,Debit Card
1041,2024-02-24,Electronics,Tablet,1,399.99,31,M,North,Credit Card
1042,2024-02-25,Clothing,Gloves,2,14.99,29,F,South,Cash
1043,2024-02-26,Electronics,Charger,3,19.99,42,M,East,PayPal
1044,2024-02-27,Home & Garden,Vase,2,24.99,39,F,West,Credit Card
1045,2024-02-28,Electronics,Laptop,1,899.99,28,M,North,Debit Card
1046,2024-02-29,Clothing,Belt,1,29.99,35,F,South,Credit Card
1047,2024-03-01,Electronics,Speaker,1,129.99,40,M,East,Cash
1048,2024-03-02,Home & Garden,Clock,2,34.99,43,F,West,PayPal
1049,2024-03-03,Electronics,Phone,1,699.99,32,M,North,Credit Card
1050,2024-03-04,Clothing,Jacket,1,129.99,27,F,South,Debit Card
1001,2024-01-15,Electronics,Laptop,1,899.99,28,M,North,Credit Card
